iter	Logloss
0	0.6694954682
1	0.646558003
2	0.6168913102
3	0.600093757
4	0.5844209206
5	0.5739942686
6	0.5599206799
7	0.5490521045
8	0.5372999247
9	0.5286224087
10	0.5198355829
11	0.5074546193
12	0.4998695738
13	0.4931129011
14	0.4858252258
15	0.4765264966
16	0.4701730436
17	0.4645294624
18	0.4570750174
19	0.4526289267
20	0.4470710958
21	0.4417227725
22	0.4349551831
23	0.4285674029
24	0.4236660692
25	0.4198880692
26	0.4122542592
27	0.4063985581
28	0.4014977432
29	0.3960871355
30	0.3923781824
31	0.387911504
32	0.3841647871
33	0.3806988517
34	0.3756735916
35	0.372493885
36	0.3686654561
37	0.3643266562
38	0.3597294736
39	0.3569474971
40	0.3529912756
41	0.3504732767
42	0.3456388791
43	0.3411305522
44	0.3345594215
45	0.3319567187
46	0.3292550812
47	0.3257137138
48	0.3229159734
49	0.3196401374
50	0.3165705961
51	0.3124852388
52	0.3086206896
53	0.3055728031
54	0.3024050414
55	0.2994548012
56	0.2961062522
57	0.2934497171
58	0.2892438114
59	0.2863720279
60	0.2834973263
61	0.280531003
62	0.2770373512
63	0.2740318313
64	0.2713749555
65	0.2678748552
66	0.2648683131
67	0.2599628167
68	0.2574061854
69	0.2546827598
70	0.2484136145
71	0.2432110958
72	0.2390961516
73	0.2362921562
74	0.2332147672
75	0.2303387822
76	0.2277095628
77	0.2253495881
78	0.2226307241
79	0.2199668803
80	0.2180705284
81	0.2164597395
82	0.2128034685
83	0.2082576984
84	0.2064478677
85	0.2044375613
86	0.2018875965
87	0.1994160702
88	0.1968477156
89	0.1950869689
90	0.1936438702
91	0.1909408927
92	0.1890114223
93	0.1865928758
94	0.1841805156
95	0.1820277846
96	0.1800230987
97	0.1783868542
98	0.1761515816
99	0.1742976079
