iter	Passed	Remaining
0	5	593
1	12	621
2	18	604
3	23	573
4	30	572
5	37	585
6	43	571
7	48	556
8	54	552
9	60	546
10	68	555
11	75	554
12	82	553
13	90	554
14	97	552
15	103	544
16	113	552
17	120	547
18	128	547
19	134	537
20	141	531
21	147	524
22	153	515
23	161	512
24	168	505
25	177	504
26	186	503
27	193	498
28	201	492
29	210	492
30	221	492
31	227	483
32	235	477
33	242	470
34	249	462
35	256	455
36	266	453
37	274	447
38	280	438
39	288	432
40	294	424
41	304	420
42	311	412
43	317	404
44	323	395
45	330	388
46	338	381
47	345	374
48	351	366
49	357	357
50	363	349
51	371	342
52	377	334
53	385	328
54	391	320
55	400	314
56	408	307
57	417	302
58	430	299
59	437	291
60	446	285
61	453	277
62	460	270
63	467	262
64	473	254
65	482	248
66	488	240
67	495	233
68	501	225
69	507	217
70	513	209
71	519	201
72	525	194
73	531	186
74	536	178
75	542	171
76	548	163
77	554	156
78	561	149
79	566	141
80	572	134
81	577	126
82	582	119
83	587	111
84	592	104
85	597	97
86	601	89
87	606	82
88	611	75
89	616	68
90	621	61
91	626	54
92	630	47
93	633	40
94	639	33
95	643	26
96	647	20
97	650	13
98	655	6
99	659	0
